Nationalitätszeichen,Unterscheidungszeichen,StadtOderKreis,Herleitung,Bundesland.Name,Bundesland.Iso3166-2,Fußnoten,Bemerkung,KI-Text,gespeichert
D,A,Augsburg,Augsburg,Bayern,DE-BY,1,,,nein
D,AA,Ostalbkreis,AAlen,Baden-Württemberg,DE-BW,,,,nein
D,AB,Aschaffenburg,AschaffenBurg,Bayern,DE-BY,1,,,nein
D,ABG,Altenburger Land,AltenBurG,Thüringen,DE-TH,,,,nein
D,ABI,Anhalt-Bitterfeld,Anhalt-BItterfeld,Sachsen-Anhalt,DE-ST,,,,nein
D,AC,Aachen,AaChen,Nordrhein-Westfalen,DE-NW,,,,nein
D,AE,Vogtlandkreis,AuErbach,Sachsen,DE-SN,,,,nein
D,AH,Borken,AHaus,Nordrhein-Westfalen,DE-NW,,,,nein
D,AIB,"München, Rosenheim",AIBling,Bayern,DE-BY,3,,,nein
D,AIC,Aichach-Friedberg,AIChach,Bayern,DE-BY,,,,nein
D,AK,Altenkirchen (Westerwald),AltenKirchen,Rheinland-Pfalz,DE-RP,,,,nein
D,ALF,Hildesheim,ALFeld,Niedersachsen,DE-NI,,,,nein
D,ALZ,Aschaffenburg,ALZenau,Bayern,DE-BY,,,,nein
D,AM,"Amberg, Stadt",AMberg,Bayern,DE-BY,1,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Kreis Amberg-Sulzbach",,nein
D,AN,Ansbach,ANsbach,Bayern,DE-BY,1,,,nein
D,ANA,Erzgebirgskreis,ANnAberg,Sachsen,DE-SN,,,,nein
D,ANG,Uckermark,ANGermünde,Brandenburg,DE-BB,,,,nein
D,ANK,Vorpommern-Greifswald,ANKlam,Mecklenburg-Vorpommern,DE-MV,,,,nein
D,AP,Weimarer Land,APolda,Thüringen,DE-TH,,,,nein
D,APD,Weimarer Land,APolDa,Thüringen,DE-TH,,,,nein
D,ARN,Ilm-Kreis,ARNstadt,Thüringen,DE-TH,,,,nein
D,ART,Kyffhäuserkreis,ARTern,Thüringen,DE-TH,,,,nein
D,AS,Amberg-Sulzbach,"Amberg, Sulzbach",Bayern,DE-BY,,,,nein
D,ASL,Salzlandkreis,ASchersLeben,Sachsen-Anhalt,DE-ST,,,,nein
D,ASZ,Erzgebirgskreis,"Aue, SchwarZenberg",Sachsen,DE-SN,,,,nein
D,AT,Mecklenburgische Seenplatte,AltenTreptow,Mecklenburg-Vorpommern,DE-MV,,,,nein
D,AU,Erzgebirgskreis,AUe,Sachsen,DE-SN,,,,nein
D,AUR,Aurich,AURich,Niedersachsen,DE-NI,,,,nein
D,AW,Ahrweiler,AhrWeiler,Rheinland-Pfalz,DE-RP,,,,nein
D,AZ,Alzey-Worms,AlZey,Rheinland-Pfalz,DE-RP,,,,nein
D,AZE,Anhalt-Bitterfeld,Landkreis Anhalt-ZErbst (bis 2007),Sachsen-Anhalt,DE-ST,,,,nein
D,AÖ,Altötting,AltÖtting,Bayern,DE-BY,,,,nein
D,B,Berlin,Berlin,Berlin,DE-BE,,,,nein
D,BA,Bamberg,BAmberg,Bayern,DE-BY,1,,,nein
D,BAD,"Baden-Baden, Stadt",BADen-Baden,Baden-Württemberg,DE-BW,,,,nein
D,BAR,Barnim,BARnim,Brandenburg,DE-BB,,,,nein
D,BB,Böblingen,BöBlingen,Baden-Württemberg,DE-BW,,,,nein
D,BBG,Salzlandkreis,BernBurG,Sachsen-Anhalt,DE-ST,,,,nein
D,BC,Biberach,BiberaCh,Baden-Württemberg,DE-BW,,,,nein
D,BCH,Neckar-Odenwald-Kreis,BuCHen,Baden-Württemberg,DE-BW,,,,nein
D,BE,Warendorf,BEckum,Nordrhein-Westfalen,DE-NW,,,,nein
D,BED,Mittelsachsen,Brand-ErbisDorf,Sachsen,DE-SN,,,,nein
D,BER,Barnim,BERnau,Brandenburg,DE-BB,,,,nein
D,BF,Steinfurt,BurgsteinFurt,Nordrhein-Westfalen,DE-NW,,,,nein
D,BGD,Berchtesgadener Land,BerchtesGaDen,Bayern,DE-BY,,,,nein
D,BGL,Berchtesgadener Land,BerchtesGadener Land,Bayern,DE-BY,,,,nein
D,BH,"Ortenaukreis, Raststatt",BüHl,Baden-Württemberg,DE-BW,,,,nein
D,BI,"Bielefeld, Stadt",BIelefeld,Nordrhein-Westfalen,DE-NW,,,,nein
D,BID,Marburg-Biedenkopf,BIeDenkopf,Hessen,DE-HE,,,,nein
D,BIN,Mainz-Bingen,BINgen,Rheinland-Pfalz,DE-RP,,,,nein
D,BIR,Birkenfeld,BIRkenfeld,Rheinland-Pfalz,DE-RP,,,,nein
D,BIT,Eifelkreis Bitburg-Prüm,BITburg,Rheinland-Pfalz,DE-RP,,,,nein
D,BIW,Bautzen,BIschofsWerda,Sachsen,DE-SN,,,,nein
D,BK,"Börde, Rems-Murr-Kreis, Schwäbisch Hall",BacKnang,Baden-Württemberg,DE-BW,7,,,nein
D,BKS,Bernkastel-Wittlich,BernKaStel,Rheinland-Pfalz,DE-RP,,,,nein
D,BL,Zollernalbkreis,BaLingen,Baden-Württemberg,DE-BW,,,,nein
D,BLB,Siegen-Wittgenstein,BerLeBurg,Nordrhein-Westfalen,DE-NW,,,,nein
D,BLK,Burgenlandkreis,BurgenLandKreis,Sachsen-Anhalt,DE-ST,,,,nein
D,BM,Rhein-Erft-Kreis,BergheiM,Nordrhein-Westfalen,DE-NW,,,,nein
D,BN,"Bonn, Stadt",BonN,Nordrhein-Westfalen,DE-NW,,,,nein
D,BNA,Leipzig,BorNA,Sachsen,DE-SN,,,,nein
D,BO,"Bochum, Stadt",BOchum,Nordrhein-Westfalen,DE-NW,,,,nein
D,BOG,Straubing-Bogen,BOGen,Bayern,DE-BY,,,,nein
D,BOH,Borken,BOcHolt,Nordrhein-Westfalen,DE-NW,,,,nein
D,BOR,Borken,BORken,Nordrhein-Westfalen,DE-NW,,,,nein
D,BOT,"Bottrop, Stadt",BOTtrop,Nordrhein-Westfalen,DE-NW,,,,nein
D,BRA,Wesermarsch,BRAke,Niedersachsen,DE-NI,,,,nein
D,BRB,"Brandenburg, Stadt",BRandenBurg,Brandenburg,DE-BB,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Kreis Potsdam-Mittelmark",,nein
D,BRG,Jerichower Land,BuRG,Sachsen-Anhalt,DE-ST,,,,nein
D,BRK,Bad Kissingen,BRücKenau,Bayern,DE-BY,,,,nein
D,BRL,Goslar,BRaunLage,Niedersachsen,DE-NI,,,,nein
D,BRV,Rotenburg (Wümme),BRemerVörde,Niedersachsen,DE-NI,,,,nein
D,BS,"Braunschweig, Stadt",BraunSchweig,Niedersachsen,DE-NI,,,,nein
D,BSB,Osnabrück,BerSenBrück,Niedersachsen,DE-NI,,,,nein
D,BSK,Oder-Spree,BeeSKow,Brandenburg,DE-BB,,,,nein
D,BT,Bayreuth,BayreuTh,Bayern,DE-BY,1,,,nein
D,BTF,Anhalt-Bitterfeld,BitTerFeld,Sachsen-Anhalt,DE-ST,,,,nein
D,BUL,"Amberg-Sulzbach, Schwandorf",BUrgLengenfeld,Bayern,DE-BY,3,,,nein
D,BZ,Bautzen,BautZen,Sachsen,DE-SN,,,,nein
D,BÖ,Börde,BÖrde,Sachsen-Anhalt,DE-ST,,,,nein
D,BÜD,Wetteraukreis,BÜDingen,Hessen,DE-HE,,,,nein
D,BÜR,Paderborn,BÜRen,Nordrhein-Westfalen,DE-NW,,,,nein
D,BÜS,"Konstanz, Gemeinde Büsingen am Hochrhein",BÜSingen,Baden-Württemberg,DE-BW,,,,nein
D,BÜZ,"Rostock, Landkreis",BÜtZow,Mecklenburg-Vorpommern,DE-MV,,,,nein
D,C,"Chemnitz, Stadt",Chemnitz,Sachsen,DE-SN,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Zwickau",,nein
D,CA,Oberspreewald-Lausitz,CAlau,Brandenburg,DE-BB,,,,nein
D,CAS,Recklinghausen,CAStrop,Nordrhein-Westfalen,DE-NW,,,,nein
D,CB,"Cottbus, Stadt",CottBus,Brandenburg,DE-BB,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Spree-Neiße",,nein
D,CE,Celle,CElle,Niedersachsen,DE-NI,,,,nein
D,CHA,Cham,CHAm,Bayern,DE-BY,,,,nein
D,CLP,Cloppenburg,CLopPenburg,Niedersachsen,DE-NI,,,,nein
D,CLZ,Goslar,CLausthal-Zellerfeld,Niedersachsen,DE-NI,,,,nein
D,CO,"Zulassungsstelle Coburg, Zweckverband",COburg,Bayern,DE-BY,,,,nein
D,COC,Cochem-Zell,COChem,Rheinland-Pfalz,DE-RP,,,,nein
D,COE,Coesfeld,COEsfeld,Nordrhein-Westfalen,DE-NW,,,,nein
D,CR,Schwäbisch Hall,CRailsheim,Baden-Württemberg,DE-BW,,,,nein
D,CUX,Cuxhaven,CUXhaven,Niedersachsen,DE-NI,,,,nein
D,CW,Calw,CalW,Baden-Württemberg,DE-BW,,,,nein
D,D,"Düsseldorf, Stadt",Düsseldorf,Nordrhein-Westfalen,DE-NW,,,,nein
D,DA,Darmstadt,DArmstadt,Hessen,DE-HE,2,,,nein
D,DAH,Dachau,DAcHau,Bayern,DE-BY,,,,nein
D,DAN,Lüchow-Dannenberg,DANnenberg,Niedersachsen,DE-NI,,,,nein
D,DAU,Vulkaneifel,DAUn,Rheinland-Pfalz,DE-RP,,,,nein
D,DBR,"Rostock, Landkreis",DoBeRan,Mecklenburg-Vorpommern,DE-MV,,,,nein
D,DD,"Dresden, Stadt",DresDen,Sachsen,DE-SN,5,,,nein
D,DE,"Dessau-Roßlau, Stadt",DEssau,Sachsen-Anhalt,DE-ST,,,,nein
D,DEG,Deggendorf,DEGgendorf,Bayern,DE-BY,,,,nein
D,DEL,"Delmenhorst, Stadt",DELmenhorst,Niedersachsen,DE-NI,,,,nein
D,DGF,Dingolfing-Landau,DinGolFing,Bayern,DE-BY,,,,nein
D,DH,Diepholz,DiepHolz,Niedersachsen,DE-NI,,,,nein
D,DI,Darmstadt-Dieburg,DIeburg,Hessen,DE-HE,,,,nein
D,DIL,Lahn-Dill-Kreis,DILlenburg,Hessen,DE-HE,,,,nein
D,DIN,Wesel,DINslaken,Nordrhein-Westfalen,DE-NW,,,,nein
D,DIZ,Rhein-Lahn-Kreis,DIeZ,Rheinland-Pfalz,DE-RP,,,,nein
