Nationalitätszeichen,Unterscheidungszeichen,BisherigerVerwaltungsbezirkOderKreis,Abwicklung,gespeichert
D,EHI,Ehingen Donau,Zulassungsbehörde des Kreises Alb-Donau-Kreis,nein
D,OTT,Land Hadeln in Otterndorf,Zulassungsbehörde des Kreises Cuxhaven,nein
D,WEM,Wesermünde in Bremerhaven,Zulassungsbehörde des Kreises Cuxhaven,nein
D,BEI,Beilngries,Zulassungsbehörde des Kreises Eichstätt,nein
D,EIH,Eichstätt,Zulassungsbehörde des Kreises Eichstätt,nein
D,HZ,Herzberg,Zulassungsbehörde des Kreises Elbe-Elster,nein
D,LIN,Lingen in Lingen (Ems),Zulassungsbehörde des Kreises Emsland,nein
D,MEP,Meppen,Zulassungsbehörde des Kreises Emsland,nein
D,ASD,Aschendorf-Hümmling,Zulassungsbehörde des Kreises Emsland in Papenburg-Aschendorf,nein
D,JEV,Friesland in Jever,Zulassungsbehörde des Kreises Friesland,nein
D,HÜN,,Zulassungsbehörde des Kreises Fulda,nein
D,L,Lahn-Dill-Kreis in Wetzlar,Zulassungsbehörde des Kreises Gießen und Lahn-Dill-Kreis,nein
D,HW,Halle,Zulassungsbehörde des Kreises Gütersloh,nein
D,WD,Wiedenbrück,Zulassungsbehörde des Kreises Gütersloh,nein
D,FAL,Fallingbostel,Zulassungsbehörde des Kreises Heidekreis,nein
D,SFA,Soltau-Fallingbostel,Zulassungsbehörde des Kreises Heidekreis,nein
D,SOL,Soltau,Zulassungsbehörde des Kreises Heidekreis,nein
D,AR,Arnsberg,Zulassungsbehörde des Kreises Hochsauerlandkreis,nein
D,BRI,Brilon,Zulassungsbehörde des Kreises Hochsauerlandkreis,nein
D,MES,Hochsauerlandkreis in Meschede,Zulassungsbehörde des Kreises Hochsauerlandkreis,nein
D,BR,Bruchsal,Zulassungsbehörde des Kreises Karlsruhe,nein
D,DT,Lippe in Detmold,Zulassungsbehörde des Kreises Lippe,nein
D,LE,Lemgo,Zulassungsbehörde des Kreises Lippe,nein
D,GEM,Gemünden am Main,Zulassungsbehörde des Kreises Main-Spessart,nein
D,KAR,Main-Spessart in Karlstadt,Zulassungsbehörde des Kreises Main-Spessart,nein
D,LOH,Lohr am Main,Zulassungsbehörde des Kreises Main-Spessart,nein
D,MAR,Marktheidenfeld,Zulassungsbehörde des Kreises Main-Spessart,nein
D,FH,Main-Taunus-Kreis in Frankfurt Main-Höchst,Zulassungsbehörde des Kreises Main-Taunus-Kreis,nein
D,LK,Lübbecke,Zulassungsbehörde des Kreises Minden-Lübbecke,nein
D,AL,Altena,Zulassungsbehörde des Kreises Märkischer Kreis,nein
D,IS,Iserlohn,Zulassungsbehörde des Kreises Märkischer Kreis,nein
D,LS  ,Märkischer Kreis in Lüdenscheid,Zulassungsbehörde des Kreises Märkischer Kreis,nein
D,LÜD,Lüdenscheid,Zulassungsbehörde des Kreises Märkischer Kreis,nein
D,HUS,Husum,Zulassungsbehörde des Kreises Nordfriesland,nein
D,NIB,Südtondern in Niebüll Schleswig,Zulassungsbehörde des Kreises Nordfriesland,nein
D,TÖN,Eiderstedt in Tönning Nordseebad,Zulassungsbehörde des Kreises Nordfriesland,nein
D,SF,Oberallgäu,Zulassungsbehörde des Kreises Oberallgäu,nein
D,GRS,Gransee,Zulassungsbehörde des Kreises Oberhavel,nein
D,OR,Oranienburg,Zulassungsbehörde des Kreises Oberhavel,nein
D,EUT,Eutin,Zulassungsbehörde des Kreises Ostholstein,nein
D,OLD,Oldenburg/Holstein,Zulassungsbehörde des Kreises Ostholstein,nein
D,WEG,Wegscheid,Zulassungsbehörde des Kreises Passau,nein
D,VOF,Vilshofen,Zulassungsbehörde des Kreises Passau und Deggendorf,nein
D,BEL,Belzig,Zulassungsbehörde des Kreises Potsdam-Mittelmark,nein
D,PER,Perleberg,Zulassungsbehörde des Kreises Prignitz,nein
D,PK,Pritzwalk,Zulassungsbehörde des Kreises Prignitz,nein
D,BU,Burgdorf,Zulassungsbehörde des Kreises Region Hannover,nein
D,NRÜ,Neustadt am Rübenberge,Zulassungsbehörde des Kreises Region Hannover,nein
D,SPR,Springe,Zulassungsbehörde des Kreises Region Hannover,nein
D,MÜN,Münsingen Württemberg,Zulassungsbehörde des Kreises Reutlingen,nein
D,SNH,Sinsheim Elsenz,Zulassungsbehörde des Kreises Rhein-Neckar-Kreis,nein
D,STH,Schaumburg-Lippe in Stadthagen,Zulassungsbehörde des Kreises Schaumburg,nein
D,VL,Villingen Schwarzwald,Zulassungsbehörde des Kreises Schwarzwald-Baar-Kreis,nein
D,RY,Rheydt,Zulassungsbehörde des Kreises Stadt Mönchengladbach,nein
D,BZA,Bergzabern,Zulassungsbehörde des Kreises Südliche Weinstraße,nein
D,JB,Jüterbog,Zulassungsbehörde des Kreises Teltow-Fläming,nein
D,LUK,Luckenwalde,Zulassungsbehörde des Kreises Teltow-Fläming,nein
D,ZS,Zossen,Zulassungsbehörde des Kreises Teltow-Fläming,nein
D,ALS,Vogelsbergkreis in Alsfeld Oberhessen,Zulassungsbehörde des Kreises Vogelsbergkreis,nein
D,LAT,Vogelsbergkreis in Lauterbach Hessen,Zulassungsbehörde des Kreises Vogelsbergkreis,nein
D,ESA,Eisenach,Zulassungsbehörde des Kreises Wartburgkreis,nein
D,MT,Montabaur,Zulassungsbehörde des Kreises Westerwald,nein
D,WEB,Oberwesterwaldkreis in Westerburg Westerwald,Zulassungsbehörde des Kreises Westerwald,nein
